"114年06月06日成交量前二十名證券"
"排名","證券代號","證券名稱","成交股數","成交筆數","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示賣價",
"1","2882","國泰金","214,946,839","49,149","64.90","67.50","64.80","66.30","+","0.20","66.30","66.50",
"2","2408","南亞科","161,087,028","62,253","52.60","53.60","51.60","52.00","-","0.50","51.90","52.00",
"3",="00919","群益台灣精選高息","121,519,322","36,493","21.96","22.06","21.96","21.99","+","0.01","21.99","22.00",
"4","2881","富邦金","101,116,694","31,877","87.00","89.10","86.30","87.80","+","0.70","87.80","87.90",
"5","3231","緯創","94,841,151","54,707","111.50","112.00","109.50","110.00","-","5.00","109.50","110.00",
"6","2889","國票金","68,068,092","4,366","12.60","12.80","12.60","12.75","+","0.15","12.75","12.80",
"7","2891","中信金","64,746,759","18,939","41.25","41.95","41.25","41.55","+","0.35","41.50","41.55",
"8","2609","陽明","62,570,540","33,921","74.20","75.30","73.30","73.50","-","0.80","73.40","73.50",
"9","2887","台新金","56,887,134","7,262","16.75","17.05","16.65","17.00","+","0.25","17.00","17.05",
"10","2303","聯電","55,833,077","17,860","45.30","45.75","45.00","45.00","-","0.30","45.00","45.05",
"11","6191","精成科","55,005,746","34,008","83.00","83.90","77.30","79.10","-","2.30","79.10","79.20",
"12","2344","華邦電","52,663,870","15,907","18.10","18.40","18.00","18.35","+","0.25","18.30","18.35",
"13","2618","長榮航","48,847,259","15,745","40.05","40.35","39.85","40.00","","0.00","40.00","40.05",
"14","2883","凱基金","47,379,733","7,755","17.50","17.75","17.45","17.65","+","0.25","17.65","17.70",
"15","2888","新光金","43,339,785","3,522","11.90","12.00","11.85","12.00","+","0.10","11.95","12.00",
"16","2615","萬海","43,100,460","24,006","105.00","107.50","100.50","101.50","-","2.50","101.50","102.00",
"17","3481","群創","41,614,734","8,360","12.10","12.30","12.05","12.10","","0.00","12.10","12.15",
"18","2890","永豐金","40,351,169","9,251","23.10","23.15","22.85","22.95","-","0.30","22.95","23.00",
"19","2354","鴻準","39,962,415","24,220","62.00","63.60","61.50","61.70","+","1.40","61.70","61.80",
"20",="00637L","元大滬深300正2","36,350,067","2,929","14.84","14.94","14.72","14.72","-","0.01","14.72","14.73",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

